id,status,reported,modified,component,version,platform,importance,flags,cc_list,comments,url,category,reporter,depends,blocks,attempts,loc_per_attempt,reopened
946046,RESOLVED INVALID,2013-12-03 18:01,2014-04-15 02:13,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,4,1,https://bugzilla.mozilla.org/show_bug.cgi?id=946046,,Eric Chang [:ericcc] [:echang],0,0,0,0,0
947331,RESOLVED FIXED,2013-12-06 10:05,2013-12-06 10:09,General,unspecified,x86_64 Linux,P1 normal,,2,2,https://bugzilla.mozilla.org/show_bug.cgi?id=947331,,Dave Huseby [:huseby],0,1,0,0,0
947617,RESOLVED FIXED,2013-12-07 09:20,2014-03-06 17:17,Gaia::Clock,unspecified,ARM Gonk (Firefox OS),P1 normal,,5,15,https://bugzilla.mozilla.org/show_bug.cgi?id=947617,,Dave Huseby [:huseby],0,0,0,0,1
947942,NEW,2013-12-09 08:01,2014-05-07 16:19,General,unspecified,ARM Gonk (Firefox OS),P3 normal,,12,4,https://bugzilla.mozilla.org/show_bug.cgi?id=947942,,Sotaro Ikeda [:sotaro],0,0,0,0,0
948154,RESOLVED WORKSFORME,2013-12-09 14:37,2014-01-22 13:20,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),P2 normal,,4,1,https://bugzilla.mozilla.org/show_bug.cgi?id=948154,,Mason Chang [:mchang],1,0,0,0,0
951005,NEW,2013-12-16 18:26,2013-12-16 18:45,General,unspecified,ARM Gonk (Firefox OS),-- normal,,6,0,https://bugzilla.mozilla.org/show_bug.cgi?id=951005,,Danny Liang [:dliang],1,0,0,0,0
951012,RESOLVED INVALID,2013-12-16 18:53,2013-12-27 17:24,Gaia::Settings,unspecified,All All,-- normal,,1,0,https://bugzilla.mozilla.org/show_bug.cgi?id=951012,,lecky,0,0,0,0,0
951438,RESOLVED WORKSFORME,2013-12-17 15:36,2013-12-20 07:56,Gaia,unspecified,ARM Gonk (Firefox OS),-- normal,,3,7,https://bugzilla.mozilla.org/show_bug.cgi?id=951438,,Mason Chang [:mchang],0,0,0,0,0
951564,UNCONFIRMED,2013-12-18 01:05,2014-01-11 12:07,Gaia::System,unspecified,All All,-- normal,,1,1,https://bugzilla.mozilla.org/show_bug.cgi?id=951564,,berwe2501,0,0,0,0,0
960623,RESOLVED DUPLICATE of,2014-01-16 09:50,2014-04-14 12:42,Wifi,unspecified,ARM Gonk (Firefox OS),P2 normal,,8,3,https://bugzilla.mozilla.org/show_bug.cgi?id=960623,,vasanth,0,0,0,0,0
961909,UNCONFIRMED,2014-01-20 18:43,2014-01-27 00:25,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: backlog,7,1,https://bugzilla.mozilla.org/show_bug.cgi?id=961909,,童玮,0,1,0,0,0
962974,NEW,2014-01-22 22:51,2014-01-26 00:23,Gaia::Wappush,unspecified,ARM Gonk (Firefox OS),-- normal,,8,11,https://bugzilla.mozilla.org/show_bug.cgi?id=962974,,Enpei,1,1,0,0,0
963391,RESOLVED DUPLICATE of,2014-01-23 18:25,2014-04-15 10:27,Vendcom,unspecified,ARM Gonk (Firefox OS),P1 normal,blocking-b2g: 1.3T+,12,18,https://bugzilla.mozilla.org/show_bug.cgi?id=963391,,Vincent Liu[:vliu][PTO:6/22~6/27],1,0,0,0,0
964666,NEW,2014-01-28 00:52,2014-01-30 03:41,Gaia::System,unspecified,All All,P1 normal,,5,4,https://bugzilla.mozilla.org/show_bug.cgi?id=964666,,sync-1,0,0,0,0,0
967088,NEW,2014-02-03 10:22,2014-02-03 15:02,Gaia::System::Window Mgmt,unspecified,ARM Gonk (Firefox OS),-- normal,,4,3,https://bugzilla.mozilla.org/show_bug.cgi?id=967088,,Andrew Stole,0,0,0,0,0
967127,RESOLVED FIXED,2014-02-03 11:21,2014-02-03 14:55,General,unspecified,All All,P1 normal,,1,1,https://bugzilla.mozilla.org/show_bug.cgi?id=967127,,Dave Huseby [:huseby],0,0,0,0,0
968751,RESOLVED FIXED,2014-02-06 04:02,2014-04-09 21:08,Gaia::UI Tests,unspecified,Other Gonk (Firefox OS),P1 normal,,6,14,https://bugzilla.mozilla.org/show_bug.cgi?id=968751,,Zac C (:zac),0,0,0,0,1
968820,NEW,2014-02-06 07:14,2014-04-11 15:55,Gaia,unspecified,All Gonk (Firefox OS),-- normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=968820,,Yura Zenevich [:yzen],0,1,0,0,0
969225,NEW,2014-02-06 19:27,2014-04-01 20:23,Gaia,unspecified,All All,P2 normal,,4,2,https://bugzilla.mozilla.org/show_bug.cgi?id=969225,,sync-1,0,0,0,0,0
970565,NEW,2014-02-10 14:10,2014-02-11 10:20,General,unspecified,x86 Linux,-- normal,,2,3,https://bugzilla.mozilla.org/show_bug.cgi?id=970565,,sarsenyev,0,0,0,0,0
972153,ASSIGNED,2014-02-12 19:13,2014-06-20 09:17,Gaia,unspecified,x86_64 Linux,P2 normal,,1,3,https://bugzilla.mozilla.org/show_bug.cgi?id=972153,,Hubert Figuiere [:hub] - on PTO for a bit.,0,1,0,0,0
972681,RESOLVED DUPLICATE of,2014-02-13 17:52,2014-02-13 23:06,Gaia::Dialer,unspecified,All All,P1 normal,,3,1,https://bugzilla.mozilla.org/show_bug.cgi?id=972681,,sync-1,0,0,0,0,0
973827,RESOLVED FIXED,2014-02-18 01:57,2014-06-13 16:12,Gaia::System,unspecified,x86 Mac OS X,-- normal,,6,17,https://bugzilla.mozilla.org/show_bug.cgi?id=973827,,Victoria Gerchinhoren [:vicky],1,1,0,0,1
975175,NEW,2014-02-20 15:39,2014-02-21 12:25,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,2,2,https://bugzilla.mozilla.org/show_bug.cgi?id=975175,,Natalya Kot [:nkot],0,0,0,0,0
975185,NEW,2014-02-20 16:00,2014-02-24 09:10,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,2,4,https://bugzilla.mozilla.org/show_bug.cgi?id=975185,,Brogan Zumwalt,0,0,0,0,0
975322,NEW,2014-02-21 00:07,2014-03-14 00:01,Gaia::Music,unspecified,All All,P2 normal,,5,4,https://bugzilla.mozilla.org/show_bug.cgi?id=975322,,sync-1,0,0,0,0,0
976011,RESOLVED WONTFIX,2014-02-24 03:42,2014-04-14 03:24,Gaia::Build,unspecified,ARM Gonk (Firefox OS),-- normal,,5,6,https://bugzilla.mozilla.org/show_bug.cgi?id=976011,,Carmen Jimenez Cabezas,1,0,0,0,0
976980,NEW,2014-02-26 01:07,2014-02-26 19:56,Vendcom,unspecified,All All,P1 normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=976980,,sync-1,0,0,0,0,0
978485,RESOLVED WORKSFORME,2014-03-01 11:11,2014-06-12 16:52,Performance,unspecified,All Gonk (Firefox OS),P2 normal,,15,11,https://bugzilla.mozilla.org/show_bug.cgi?id=978485,,Fabrice Desré [:fabrice],1,0,0,0,0
979012,UNCONFIRMED,2014-03-03 15:07,2014-03-06 22:55,Gaia::System,unspecified,All All,-- normal,,13,6,https://bugzilla.mozilla.org/show_bug.cgi?id=979012,,FangChen,0,1,0,0,0
979130,RESOLVED FIXED,2014-03-03 20:25,2014-06-04 10:24,Gaia,unspecified,ARM Gonk (Firefox OS),P2 normal,blocking-b2g: 1.4+,7,9,https://bugzilla.mozilla.org/show_bug.cgi?id=979130,,Chuck Lee [:chucklee],0,1,0,0,0
981469,NEW,2014-03-09 19:22,2014-03-14 18:37,Gaia::Camera,unspecified,All All,P2 normal,,4,5,https://bugzilla.mozilla.org/show_bug.cgi?id=981469,,sync-1,0,0,0,0,0
981948,RESOLVED FIXED,2014-03-10 18:31,2014-03-29 08:36,Vendcom,unspecified,All All,-- normal,blocking-b2g: -,13,20,https://bugzilla.mozilla.org/show_bug.cgi?id=981948,,sam.hua,0,1,0,0,1
983668,VERIFIED WONTFIX,2014-03-14 07:42,2014-05-30 14:04,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=983668,,Marcelino Veiga Tuimil [:sonmarce],0,1,0,0,0
983677,VERIFIED WONTFIX,2014-03-14 08:01,2014-05-30 14:04,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=983677,,Marcelino Veiga Tuimil [:sonmarce],0,1,0,0,0
984543,NEW,2014-03-17 12:53,2014-03-17 12:55,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,0,1,https://bugzilla.mozilla.org/show_bug.cgi?id=984543,,mclemmons,0,0,0,0,0
986018,NEW,2014-03-20 09:17,2014-03-20 09:17,Gaia::System,unspecified,All All,P2 normal,,2,0,https://bugzilla.mozilla.org/show_bug.cgi?id=986018,,sync-1,0,0,0,0,0
986031,RESOLVED WONTFIX,2014-03-20 09:42,2014-05-09 03:41,Gaia::UI Tests,unspecified,All All,-- normal,,3,5,https://bugzilla.mozilla.org/show_bug.cgi?id=986031,,Malini Das [:mdas],0,1,0,0,0
991453,VERIFIED FIXED,2014-04-02 20:07,2014-05-01 18:19,Gaia::Clock,unspecified,All All,P2 normal,,11,21,https://bugzilla.mozilla.org/show_bug.cgi?id=991453,,sync-1,0,0,0,0,2
991493,NEW,2014-04-02 23:42,2014-04-02 23:52,Gaia::System,unspecified,All All,P2 normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=991493,,sync-1,0,0,0,0,0
992934,RESOLVED DUPLICATE of,2014-04-07 07:36,2014-04-07 21:13,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,6,10,https://bugzilla.mozilla.org/show_bug.cgi?id=992934,,[:AndreiH],0,0,0,0,0
993549,NEW,2014-04-08 10:58,2014-04-08 10:58,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,1,0,https://bugzilla.mozilla.org/show_bug.cgi?id=993549,,Joshua Mitchell,0,0,0,0,0
995008,NEW,2014-04-10 17:00,2014-04-11 08:56,Performance,unspecified,ARM Gonk (Firefox OS),P2 normal,,3,3,https://bugzilla.mozilla.org/show_bug.cgi?id=995008,,Dave Huseby [:huseby],0,0,0,0,0
997087,RESOLVED FIXED,2014-04-16 03:12,2014-05-20 20:30,Vendcom,unspecified,ARM Gonk (Firefox OS),-- normal,,10,8,https://bugzilla.mozilla.org/show_bug.cgi?id=997087,,Mike Lien[:mlien],0,1,0,0,0
997751,RESOLVED FIXED,2014-04-17 07:32,2014-04-20 21:16,Gaia::Homescreen,unspecified,x86 Mac OS X,-- normal,,5,6,https://bugzilla.mozilla.org/show_bug.cgi?id=997751,,GaryChen [:GaryChen][:PYChen][:陳柏宇],0,0,0,0,0
999720,RESOLVED WORKSFORME,2014-04-22 14:53,2014-04-25 09:19,Gaia::Music,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: 1.3T+,6,9,https://bugzilla.mozilla.org/show_bug.cgi?id=999720,,jcastro,0,0,0,0,1
1000081,NEW,2014-04-23 03:56,2014-04-25 00:03,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,2,3,https://bugzilla.mozilla.org/show_bug.cgi?id=1000081,,Panos Astithas [:past],0,0,0,0,0
1000691,RESOLVED FIXED,2014-04-23 21:52,2014-05-01 14:48,Gaia::Settings,unspecified,x86 Mac OS X,-- normal,blocking-b2g: 1.3T+,10,14,https://bugzilla.mozilla.org/show_bug.cgi?id=1000691,,Joe Cheng [:jcheng],0,0,0,0,0
1003431,RESOLVED WORKSFORME,2014-04-29 13:31,2014-05-12 20:02,Hardware,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: -,8,14,https://bugzilla.mozilla.org/show_bug.cgi?id=1003431,,Naoki Hirata :nhirata (please use needinfo instead of cc),0,0,0,0,0
1004876,NEW,2014-05-01 19:07,2014-05-01 20:09,Gaia::Settings,unspecified,All All,P1 normal,,3,1,https://bugzilla.mozilla.org/show_bug.cgi?id=1004876,,sync-1,0,0,0,0,0
1005207,RESOLVED WORKSFORME,2014-05-02 10:38,2014-05-26 00:26,GonkIntegration,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: 1.4+,13,24,https://bugzilla.mozilla.org/show_bug.cgi?id=1005207,,Roland Kunkel [:RolandK],0,0,0,0,0
1008104,NEW,2014-05-09 01:40,2014-05-26 01:39,RIL,unspecified,x86 Mac OS X,-- normal,blocking-b2g: backlog,4,10,https://bugzilla.mozilla.org/show_bug.cgi?id=1008104,,Vance Chen [:vchen][vchen&#64;mozilla.com],0,0,0,0,0
1008493,NEW,2014-05-09 17:47,2014-05-12 09:07,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=1008493,,psiphantong,0,0,0,0,0
1008539,NEW,2014-05-10 02:17,2014-05-22 09:13,General,unspecified,ARM Gonk (Firefox OS),-- major,,1,1,https://bugzilla.mozilla.org/show_bug.cgi?id=1008539,,Kai-Zhen Li,0,0,0,0,0
